,time,btc_close,eth_close,doge_close,btc_volume,eth_volume,doge_volume,btc_friction_diff_0.25,btc_friction_diff_0.5,btc_friction_diff_0.75,btc_friction_diff_1.0,btc_friction_diff_1.25,btc_friction_diff_1.5,btc_friction_diff_1.75,btc_friction_diff_2.0,eth_friction_diff_0.25,eth_friction_diff_0.5,eth_friction_diff_0.75,eth_friction_diff_1.0,eth_friction_diff_1.25,eth_friction_diff_1.5,eth_friction_diff_1.75,eth_friction_diff_2.0,doge_friction_diff_0.25,doge_friction_diff_0.5,doge_friction_diff_0.75,doge_friction_diff_1.0,doge_friction_diff_1.25,doge_friction_diff_1.5,doge_friction_diff_1.75,doge_friction_diff_2.0,btc_close_15_min_future_percent_change,eth_close_15_min_future_percent_change,doge_close_15_min_future_percent_change,btc_close_10_min_future_percent_change,eth_close_10_min_future_percent_change,doge_close_10_min_future_percent_change,btc_close_5_min_future_percent_change,eth_close_5_min_future_percent_change,doge_close_5_min_future_percent_change,btc_close_15_min_past_percent_change,eth_close_15_min_past_percent_change,doge_close_15_min_past_percent_change,btc_close_10_min_past_percent_change,eth_close_10_min_past_percent_change,doge_close_10_min_past_percent_change,btc_close_5_min_past_percent_change,eth_close_5_min_past_percent_change,doge_close_5_min_past_percent_change,btc_volume_1_min_past_percent_change,eth_volume_1_min_past_percent_change,doge_volume_1_min_past_percent_change
179,2023-01-22 15:35:00,22577.08,1622.53,0.0880647,0.358731,6.03615,0.0,844945.4239923619,1064676.097612707,1340284.7339468747,1309417.240452352,1139902.7003095662,1078331.5468776645,878625.7977943234,842413.9250134099,142926.23616729886,268166.1555365892,301303.48470398807,410351.05858258996,332210.75743269175,248913.54153329227,210562.07772389008,101329.1610781923,-24413.720533500018,-23858.60646100022,-124751.78066699993,-175997.93984160048,-231512.15717600053,-328959.8988627003,-374403.66753380036,-401579.3156793006,-0.0031753441986298635,-0.0034020942601985676,-0.007349142164794754,-0.002595995584902945,-0.0037102549721730765,-0.006680315722417722,-0.003304235977371838,-0.0028042624789680034,-0.002721862448858572,-0.0005272480088751137,-0.0034334078569146736,-0.004956871713403104,-0.0010216737307726673,-0.003396680712013054,-0.0038673583194015616,0.0004426800265342851,-0.0013294843939459723,0.0018794191093236064,inf,inf,
180,2023-01-22 15:36:00,22576.88,1622.86,0.0880517,0.0,0.0,0.0,916920.1007552212,1136650.7743755663,1412259.410709734,1381391.9172152113,1212476.2861102158,1150905.132678314,951199.383594973,914987.5108140595,191735.21117150132,316951.14615369216,350067.3540360909,459187.111792292,381046.81064239424,297749.59474299476,259398.13093359256,150165.21428789478,-23304.546971700038,-22738.865611200104,-123642.60710519989,-174888.76627980056,-230402.9836142006,-327850.7253009004,-373294.49397200043,-400470.14211750065,-0.0028179270120584693,-0.0036540428626004933,-0.007898768564377538,-0.001858981400441565,-0.0037095005114427507,-0.006533661473884103,-0.002592475133853857,-0.0022922494854761347,-0.00491983686856693,0.0007180634626261587,-0.0026548998881501516,-0.002676467923160664,-0.0007502048125528397,-0.002287007094640305,-0.004014406164245715,-9.654963492724191e-05,-0.0014213897623018962,0.0008035825916958547,-1.0,-1.0,
181,2023-01-22 15:37:00,22564.04,1621.74,0.0880286,0.0,0.0,0.0,840604.7510776613,1060237.4330412764,1335864.4898894047,1305022.5503424117,1148863.7039541062,1074457.9952017646,874752.2461184235,838671.7890336597,269450.2791171004,394692.44271919085,427779.3980225893,536887.8779503899,458686.67075128993,375389.45485189045,337122.52585548814,227805.07439679047,-23571.457505800063,-22944.998796200205,-123934.71915800002,-175180.87833260064,-230695.09566700069,-328142.8373537005,-373586.6060248005,-400762.25417030073,-0.003073917614044319,-0.003570239372525783,-0.009633232835692054,-0.0024171203383791585,-0.003995708313293141,-0.006985229800314916,-0.001786914045534386,-0.001973189290515154,-0.003943036694892376,-0.0004956760130460993,-0.003190057347273733,-0.002938111634650313,-0.0005164845386853942,-0.003098144801386766,0.0004432342004054726,-0.0008085978841835597,-0.0022701685092560457,-0.0008637450669487055,,,
182,2023-01-22 15:38:00,22519.03,1616.78,0.0877042,0.323125,0.0,0.0,1337580.6795466142,1557053.1049462603,1833133.4809125885,1801976.3686314952,1645729.4015166098,1571159.9845258687,1376043.874098597,1336497.4315228835,-3419.179792402778,119972.3260653899,153069.92237458797,261341.30991379125,183797.9535473925,103983.05144859385,61522.459162091836,-46710.31978890626,-89.48758070004988,-23723.290009200107,-125346.80688109976,-176816.38668980036,-231951.8825489002,-321712.98990559997,-374370.6102781001,-402470.4456248003,-0.002619562210272732,-0.0029317532379173478,-0.008771529755701559,0.00035925170844393144,0.0008597335444526157,-0.003312270107930967,0.0013823863638887208,0.0014906171526120325,0.001265617838142301,-0.0037678838445953356,-0.007330910162581692,-0.007945108170657007,-0.0024571972801169977,-0.004531629046757131,-0.004891343196199521,-0.0029584894967424166,-0.0056153169609634655,-0.0049173111135315745,inf,,
183,2023-01-22 15:39:00,22536.09,1618.7,0.0877114,0.26,0.0,0.0,1095394.0300053284,1314922.6356829647,1590546.5086066825,1559827.2862926694,1403537.9507991439,1329054.7204160327,1133960.9653326916,1094414.522756978,2184.235581899062,124752.94787059212,158846.54452979006,267073.2922429936,188796.63249559514,108557.66059089638,67179.3407192938,-40933.69763370417,-4742.822913800104,-28363.967342300108,-129987.48421419977,-181457.06402290054,-236805.49049730052,-326353.6672387003,-379041.43653620046,-407111.12295790063,-0.006237550524514222,-0.004837215049113582,-0.013311838597947255,-0.0005861708929987023,-0.00012355593995184126,-0.003394085603467713,-0.0008386547977045466,-0.0016062272193736555,0.0011834265557270904,-0.0034130402193048724,-0.006066634737010084,-0.007863666287358715,-0.002189453960365824,-0.004716024028972403,-0.005305105966032855,-0.00212450634451627,-0.0033924184680552334,-0.005500218262629495,-0.19535783365570597,,
184,2023-01-22 15:40:00,22502.48,1617.98,0.087825,0.163911,0.0,0.0,1305257.744094653,1524665.7991137486,1800711.5954397563,1769576.4124180237,1613307.5160437785,1538779.078092957,1343621.9886257658,1304365.2546314523,208070.48139899806,331609.7503586889,364707.3466678881,472934.0943810884,394723.1570686861,315554.7862058873,273040.14285738487,164927.1045043869,3477.534469299979,-20145.997622800118,-121564.72812259989,-172981.7701937005,-228434.2781787006,-318397.5805287004,-370611.29469980043,-398635.82912870066,-0.005474507698706929,-0.0050556867204786604,-0.015832621690862542,0.00012931907949700896,-0.0005995129729663082,-0.004639908909763793,0.0007105883440403725,-0.0009085402786190356,-0.003969257045260512,-0.00432253385704615,-0.006191418006707325,-0.006578694350874274,-0.0028630186701076913,-0.0041300186497116595,-0.0008475588598343006,-0.003304235977371838,-0.0028042624789680034,-0.002721862448858572,-0.36957307692307695,,
185,2023-01-22 15:41:00,22518.35,1619.14,0.0876185,0.343662,2.62167,0.0,924668.3321847264,1144140.7575843725,1420221.1335506998,1389064.0212696074,1232817.054154722,1158247.6371639809,963131.5267367093,923585.0841609957,-7122.988242000109,115499.01923479931,149592.61589399772,257819.36360720126,179542.70385980234,99303.73195510358,57892.73410990089,-50292.1536438968,-2754.436741900048,-26361.51325249998,-127999.99225479987,-179426.19396760047,-234663.35612430063,-324347.9945796004,-377031.9459319005,-404746.12820020074,-0.00477610482117914,-0.004656793112393117,-0.011469039072798587,-0.0002260378757768729,-0.0013649221191496944,-0.0029936600147229975,0.0007354002402485667,-0.0014205071828255627,-0.0016218036145335302,-0.003340735059084856,-0.00457401418928047,-0.008914492809360386,-0.0026887744662533676,-0.0037103810678267334,-0.004120207772132639,-0.002592475133853857,-0.0022922494854761347,-0.00491983686856693,1.0966378095429838,inf,
186,2023-01-22 15:42:00,22523.72,1618.54,0.0876815,0.12928,2.2,3750.0,244399.7130272044,463975.87920223083,740056.2551685581,708832.9693145454,552543.6338210199,478082.75878183916,282966.6483545676,243420.20577885397,-18923.865716399858,103644.84657229809,137738.44323149696,245965.19094470004,167688.53119730158,88218.97755800234,46071.23942100024,-62041.798931997735,563.226603899966,-23020.46975690016,-124681.14871629991,-176161.31781700056,-231296.81367610063,-321057.9210328004,-373715.54140530055,-401815.3767520007,-0.003364009142361938,-0.002724677796038315,-0.007490747763211157,-0.0012893074501015317,-0.0016002075944986953,-0.0057127216117424835,-0.0006313344332109067,-0.0020265177258516768,-0.003054236070322686,-0.002302475670743302,-0.005065220865759359,-0.003501550183203533,-0.0025940670348015087,-0.0042388783275810705,-0.00480337598334707,-0.001786914045534386,-0.001973189290515154,-0.003943036694892376,-0.6238164242773423,-0.16084022779373444,inf
187,2023-01-22 15:43:00,22550.16,1619.19,0.0878152,0.13,0.0,0.0,100473.64536831528,320016.9765627105,595691.5642967587,564897.6797288954,408720.76910630986,334237.5387231987,134531.7896398576,98512.22120909393,-27041.432471500244,95580.57500529941,129674.17166449782,237900.9193777009,159624.25963030243,79385.28772560367,37974.28988040099,-70210.5978733967,-7844.270574700116,-31477.880011800153,-132896.61051159992,-184313.6525827006,-239766.16056770075,-329729.4629177005,-381943.1770888006,-409967.7115177008,-0.004720587348382483,-0.0032670656315812,-0.011500286966265455,-0.003996423972158024,-0.004415788140984128,-0.010024460457870626,-0.0010217222405517687,-0.0006299446019305836,-0.004572101412967221,-0.0010782077122416952,-0.0030477668181314696,-0.003631915929258807,-0.0015801929083917006,-0.004133070096130799,-0.003657916712050254,0.0013823863638887208,0.0014906171526120325,0.001265617838142301,0.005569306930693057,-1.0,-1.0
188,2023-01-22 15:44:00,22517.19,1616.1,0.0878152,0.0,0.0,0.0,819858.6155816261,1039331.0409812722,1315411.4169475995,1284254.304666507,1128007.3375516217,1053437.9205608806,858321.810133609,818775.3675578954,145800.8833718996,269186.3331204981,302259.79359169723,410662.8019510973,332987.82476449665,253203.14560569776,210712.33037919598,136211.9804281979,8845.040968500165,-14788.568468599988,-116207.29896839976,-167624.34103950032,-223076.8490245004,-313040.1513745002,-365253.86554560025,-393278.39997450047,-0.004103975673696401,-0.0015283707691354496,-0.011453598010367239,-0.005403427337069957,-0.003236185879586671,-0.014478131348559157,0.00025269582927542594,0.0014850566177836094,-0.004572101412967221,-0.003026272562002156,-0.006314676242183502,-0.004127957613586914,-0.0029613794147822347,-0.004993196692545993,-0.004323300811256695,-0.0008386547977045466,-0.0016062272193736555,0.0011834265557270904,-1.0,,
189,2023-01-22 15:45:00,22518.47,1616.51,0.0874764,0.0,0.0,0.0,1080694.5566578787,1300166.9820575248,1576247.3580238512,1545090.2457427597,1388843.2786278743,1314273.8616371332,1119157.7512098616,1079611.308634148,105746.17167770001,229131.62142629712,262205.0818974965,370577.8955312981,292933.1130702989,213118.21097150026,170657.61868499825,96157.26873400062,12212.537636500056,-11346.356615100056,-113035.86266759987,-164523.46759700036,-219839.6176315004,-309495.77037700027,-362236.18162370037,-389950.3638920006,-0.0027057788562011667,-0.0017506851179392192,-0.006214247499897016,-0.006180704106451294,-0.004150917717799479,-0.011910641041469452,-0.0005808565146744759,0.0003093083247242516,-0.0006733244623692861,-0.0021544647537630676,-0.0050348066400359845,-0.004813451726119142,-0.002595995584902945,-0.0037102549721730765,-0.006680315722417722,0.0007105883440403725,-0.0009085402786190356,-0.003969257045260512,,,
190,2023-01-22 15:46:00,22534.91,1616.84,0.0874764,0.218558,0.0,0.0,761530.2675535874,981106.433728613,1256682.7461549407,1225963.5238409275,1069674.188347402,995190.9579642909,800097.2028809488,760550.7603052361,129526.24349190015,252917.7493496912,286015.3456588909,394286.7331980923,316743.3768316931,236928.47473289445,194467.88244639244,86235.10349539435,8948.018657000153,-14610.875594600046,-116300.3816470998,-167787.9865765003,-223104.13661100034,-312760.2893565002,-365500.7006032003,-393214.8828715005,-0.0046399120298240065,-0.0033955122337398936,-0.007025894984247099,-0.005507454877787424,-0.0032408896365750534,-0.009863231683059625,-0.0009607315937805589,5.5664134979432424e-05,-0.001374084896040542,-0.001955351551393258,-0.005125617627694428,-0.005735329218808695,-0.001858981400441565,-0.0037095005114427507,-0.006533661473884103,0.0007354002402485667,-0.0014205071828255627,-0.0016218036145335302,inf,,
191,2023-01-22 15:47:00,22509.5,1615.26,0.0874137,0.201476,0.0,0.0,1000912.468180446,1220384.7544736117,1496430.5507996194,1465295.3677778868,1309026.4714036416,1234498.03345282,1039340.943985628,999794.5014099153,123213.3561776001,246464.80136219412,279847.41137089324,387976.7797564948,310245.02835899545,230427.1633848967,188076.40940559516,113469.19358139671,25558.379069300077,2000.4649066998973,-99706.35432309989,-151216.4731279004,-206560.60421840014,-296194.8998239,-348726.76537860004,-376591.07127000025,-0.0027024145360848417,-0.0013929646001262955,-0.005349275914416145,-0.0027344010306759045,-0.0006995777769522441,-0.004450103359084451,-0.0006583886803349568,0.0004271758107054311,-0.0026666300591326074,-0.003223763744171288,-0.006256805891364176,-0.007842941409482097,-0.0024171203383791585,-0.003995708313293141,-0.006985229800314916,-0.0006313344332109067,-0.0020265177258516768,-0.003054236070322686,-0.07815774302473491,,
192,2023-01-22 15:48:00,22527.12,1618.17,0.0874137,0.149999,0.20297,0.0,690977.8855680954,910554.0517431218,1186130.3641694495,1155411.1418554364,999121.8063619109,924638.5759787997,729544.8208954586,689998.378319745,41535.461838399526,164104.1741270898,198197.7707862882,306424.51849949127,228183.36337709287,148940.677188294,106530.56697579101,-1582.4713772065006,18910.23401880011,-4647.680143800157,-106354.4993736,-157864.61817840044,-213208.74926890037,-302843.04487440025,-355374.9104291003,-383239.2163205005,-0.002365149206822658,-0.0022679940920917285,-0.004841346379343268,-0.0037026481858311163,-0.002638783316956798,-0.006960007413025591,-0.0029777441590402194,-0.0037882299140387654,-0.0054774022836237505,-0.0026003006307046034,-0.004760411092864924,-0.008213293758849794,0.00035925170844393144,0.0008597335444526157,-0.003312270107930967,-0.0010217222405517687,-0.0006299446019305836,-0.004572101412967221,-0.2554994143223014,inf,
193,2023-01-22 15:49:00,22522.88,1618.5,0.0874137,0.339277,4.06076,0.0,606477.2589363167,826053.4251113422,1102133.8010776704,1070976.688796578,914621.1797301322,840160.3046909515,645044.1942636799,605497.7516879663,-34403.57814100082,88165.13414769806,122258.73080689646,230485.47852009954,152208.81877270108,72739.26513340231,30591.52699639974,-77521.51135659823,8311.77666400018,-15246.13749860006,-116952.95672839985,-168463.07553320035,-223807.2066237005,-313441.5022292004,-365973.3677839004,-393837.6736753006,-0.0020738910832008503,-0.0027371022551745837,-0.002185012189164819,-0.0043555708683792735,-0.003008958912573303,-0.0069131040100121844,-0.00565469424869291,-0.004714241581711529,-0.009951529336934519,-0.002709431913733826,-0.003515555254554544,-0.008875635654476086,-0.0005861708929987023,-0.00012355593995184126,-0.003394085603467713,0.00025269582927542594,0.0014850566177836094,-0.004572101412967221,1.2618617457449717,19.006700497610485,
194,2023-01-22 15:50:00,22505.39,1617.01,0.0874175,0.509363,0.99464,571.0,1075381.6600511177,1294800.1231665136,1570845.9194925213,1539710.7364707887,1383441.8400965435,1308913.402145722,1113756.3126785308,1074209.8701028172,91321.3122920997,214744.52952269325,247842.12583189248,356113.51337109506,278570.15700469585,198689.56536989752,156294.66261939518,48061.88366839709,22247.000733800087,-1310.9134288001223,-103017.73265859991,-154527.8514634004,-209871.98255390022,-299506.2781594001,-352038.1437141001,-379902.4496055003,-0.001161943872112317,-0.0015151421450702504,-0.002226098893242077,-0.0021261573338652896,-0.0020593564665647877,-0.005544656390310759,-0.005603102190186375,-0.004458846884063819,-0.011244888037292278,-0.0031753441986298635,-0.0034020942601985676,-0.007349142164794754,0.00012931907949700896,-0.0005995129729663082,-0.004639908909763793,-0.0005808565146744759,0.0003093083247242516,-0.0006733244623692861,0.5013189812454131,-0.7550606290448094,inf
195,2023-01-22 15:51:00,22513.26,1616.93,0.0873562,0.0,2.26339,0.0,1021480.5119289458,1240918.218581792,1516998.5945481192,1485863.4115263866,1329594.5151521415,1255066.0772013199,1059908.9877341287,1020362.5451584151,14136.800140799489,137560.01737140142,170657.61368060065,278929.0012198016,201385.64485340286,121570.74275460467,79110.15046810219,-29122.628482895903,20291.940390500182,-3313.916135800071,-105108.87234239985,-156138.83787300042,-211940.7895171002,-301595.26601580007,-354137.09081690013,-382021.5796151003,-0.0021605045204470355,-0.001805891411502089,-0.0014881599703282795,-0.0036827185400959196,-0.0034509842726649603,-0.005659586841002609,-0.004551095665398931,-0.003296370281954169,-0.008500827645891145,-0.0028179270120584693,-0.0036540428626004933,-0.007898768564377538,-0.0002260378757768729,-0.0013649221191496944,-0.0029936600147229975,-0.0009607315937805589,5.5664134979432424e-05,-0.001374084896040542,-1.0,1.2755871471085014,-1.0
196,2023-01-22 15:52:00,22494.68,1615.95,0.0871806,0.531348,1.54582,13390.0,756918.7737123277,976293.6928687831,1252324.1145792203,1226773.921577678,1064908.105385433,990379.6674346114,795222.5779674202,755965.8439731067,237060.3654027013,360389.41815649136,393826.47862769105,501865.8869870929,424190.9098004936,344406.23064169474,301915.41541519295,227415.06546419486,18143.9353383001,-5456.596871199959,-107368.39731209975,-158421.87926430028,-214271.68546040013,-303929.80337469996,-346848.2457889001,-384059.48484450026,-0.002439687961775896,-0.002500077353878501,-0.0009508996267517872,-0.0020453725058548083,-0.0018193632228720286,-0.0026898186064330666,-0.0020773800738663347,-0.0011262724713016717,-0.0017882418795007202,-0.003073917614044319,-0.003570239372525783,-0.009633232835692054,-0.0012893074501015317,-0.0016002075944986953,-0.0057127216117424835,-0.0006583886803349568,0.0004271758107054311,-0.0026666300591326074,inf,-0.3170332996081099,inf
197,2023-01-22 15:53:00,22460.04,1612.04,0.0869349,0.179031,0.0,2083.0,834735.1312516769,1053722.3342556413,1329688.6918419786,1305396.2082415055,1142735.1507618707,1068976.3146231705,873639.8637035284,834627.8762237849,244441.09110960318,367544.6544780936,401023.3176778918,509060.26726749446,431327.46145389555,351670.4149298966,309274.0866893949,234604.51971899671,19953.970344399975,-3729.1358685001032,-105681.22862919985,-156933.6031982003,-212820.32583730016,-302495.866391,-343049.9599589001,-382604.37261500023,-0.0018107714857142681,-0.00022331952060736704,0.0018726656383110192,0.0006144245513364745,0.001526016724150788,0.0006395590263519354,-0.0007270690524149443,0.0011538175231384626,-0.0014907706801295408,-0.002619562210272732,-0.0029317532379173478,-0.008771529755701559,-0.003996423972158024,-0.004415788140984128,-0.010024460457870626,-0.0029777441590402194,-0.0037882299140387654,-0.0054774022836237505,-0.663062625623885,-1.0,-0.844436146377894
